Latitude	Longitude	Altitude	Time	Cond.1[mS/m]	Inph.1[ppt]	Cond.2[mS/m]	Inph.2[ppt]	Cond.3[mS/m]	Inph.3[ppt]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick [m]	Inv.RMS[%]	Note
49.88130232	5.282185375	447.781	01:32.8	16.07	2.73	4.95	3.52	3.86	4.33	133.75	2.25	0.1	9.3	
49.88130215	5.28218595	447.802	01:33.3	15.52	2.72	4.26	3.54	3.62	4.38	173.58	1.81	0.1	16.1	
49.88130201	5.282186033	447.809	01:33.8	15.91	2.72	4.04	3.57	3.46	4.41	165.91	1.73	0.1	15.8	
49.88130196	5.282186425	447.805	01:34.3	16.37	2.72	4.44	3.56	3.6	4.36	148.38	1.92	0.1	9.7	
49.88130218	5.282186152	447.8	01:34.8	15.82	2.72	4.74	3.52	3.72	4.32	153.33	1.98	0.1	10.2	
49.88130254	5.28218562	447.818	01:35.3	13.39	2.72	5.6	3.39	3.85	4.24	62.76	2.5	0.1	3.7	
49.88130337	5.282184968	447.795	01:35.8	9.42	2.72	6.76	3.22	4.25	4.08	12.47	0.57	0.6	2.2	
49.8813047	5.28218797	447.801	01:36.3	7.62	2.71	6.29	3.16	3.87	4.07	9.68	0.52	0.7	5.3	
49.88130538	5.282192073	447.814	01:36.8	4.72	2.72	6.22	3.1	4.02	4.02	5.63	0.87	1.9	17.2	
49.88130785	5.282197027	447.798	01:37.3	1.26	2.75	6.03	3.07	4.55	3.9	-1	-1	-1	-1	
49.88130935	5.282202598	447.808	01:37.8	0.74	2.76	6.37	3.08	4.6	4.08	-1	-1	-1	-1	
49.88131053	5.282208568	447.9	01:38.3	2.21	2.73	6.74	3.23	4.46	4.25	0.07	5.95	0.2	28.7	
49.88131114	5.282212	447.918	01:38.8	1.03	2.73	6.78	3.23	4.8	4.16	-1	-1	-1	-1	
49.88131415	5.282217252	447.984	01:39.3	0.91	2.73	6.75	3.23	4.41	4.21	-1	-1	-1	-1	
49.88131551	5.282219923	447.979	01:39.8	0.5	2.71	6.28	3.26	4.4	4.21	-1	-1	-1	-1	
49.88131764	5.2822243	448.001	01:40.3	0.27	2.7	5.47	3.26	4.12	4.23	-1	-1	-1	-1	
49.88132003	5.282227067	448.02	01:40.8	-0.33	2.71	5.19	3.22	4.34	4.23	-1	-1	-1	-1	
49.88132091	5.282230428	447.972	01:41.3	-0.02	2.69	5.03	3.3	4.68	4.1	-1	-1	-1	-1	
49.88132251	5.28223433	447.993	01:41.8	0.12	2.68	4.95	3.3	4.56	4.11	-1	-1	-1	-1	
49.88132474	5.282235987	447.99	01:42.3	0.58	2.69	5.42	3.29	3.83	4.24	-1	-1	-1	-1	
49.88132587	5.282237752	448.008	01:42.8	0.32	2.7	5.31	3.22	3.6	4.09	-1	-1	-1	-1	
49.88132695	5.28224323	447.995	01:43.3	1.53	2.69	3.6	3.37	3.35	4.12	0.56	3.96	0.4	19.7	
49.88132826	5.282246335	448.016	01:43.8	2.55	2.7	3.58	3.33	3.67	4.11	0.55	3.73	0.2	5.8	
49.88133074	5.2822494	448.053	01:44.3	1.89	2.72	5.66	3.19	4.63	3.96	0.77	5.79	0.4	26.3	
49.8813321	5.282255972	448.018	01:44.8	1.55	2.72	5.41	3.25	4.51	3.99	0.83	5.86	0.4	31.4	
49.88133358	5.282259088	448.019	01:45.3	1.07	2.72	5.2	3.23	4.09	4.07	-1	-1	-1	-1	
49.88133632	5.282262203	448.049	01:45.8	1.38	2.72	4.5	3.26	4.04	4.05	0.34	4.92	0.4	23.6	
49.88133828	5.282267323	447.991	01:46.3	1.05	2.71	4.72	3.3	4	4.05	-1	-1	-1	-1	
49.88133986	5.282270913	448.025	01:46.8	-0.59	2.74	4.64	3.18	4.12	4	-1	-1	-1	-1	
49.88134161	5.282274168	448.082	01:47.3	-1.72	2.77	4.54	3.1	4.25	3.95	-1	-1	-1	-1	
49.88134075	5.282273015	448.078	01:47.8	-1.68	2.77	4.47	3.12	4.24	3.91	-1	-1	-1	-1	
49.88133995	5.282273117	448.075	01:48.3	0.03	2.74	4.4	3.21	4.2	3.96	-1	-1	-1	-1	
49.88134101	5.28227561	448.09	01:48.8	0.64	2.73	4.72	3.2	4.16	3.97	-1	-1	-1	-1	
49.88134266	5.282277853	448.182	01:49.3	0.39	2.74	5.49	3.13	4.25	3.89	-1	-1	-1	-1	
49.88134371	5.282280633	448.152	01:49.8	1.03	2.73	5.28	3.15	4.34	3.83	-1	-1	-1	-1	
49.88134493	5.282286037	448.205	01:50.3	0.88	2.74	4.51	3.15	4.18	3.83	-1	-1	-1	-1	
49.8813479	5.282290062	448.147	01:50.8	0.83	2.74	4.58	3.15	3.74	3.89	-1	-1	-1	-1	
49.8813492	5.282292623	448.161	01:51.3	0.65	2.74	4.38	3.16	3.99	3.92	-1	-1	-1	-1	
49.88135069	5.282297873	448.145	01:51.8	1.9	2.73	3.15	3.23	3.91	3.98	0.78	4.56	0.5	2.6	
49.8813537	5.282302772	448.101	01:52.3	0.95	2.74	4.7	3.19	4.33	3.96	-1	-1	-1	-1	
49.88135542	5.282306063	448.105	01:52.8	0.3	2.74	4.97	3.21	4.79	3.92	-1	-1	-1	-1	
49.88135721	5.282311038	448.089	01:53.3	0.85	2.74	5.22	3.23	4.65	3.95	-1	-1	-1	-1	
49.8813605	5.282315408	448.112	01:53.8	0.77	2.74	4.39	3.22	4.15	3.95	-1	-1	-1	-1	
49.88136153	5.282318358	448.113	01:54.3	0.93	2.75	2.68	3.26	4.39	3.89	0.07	26.19	2.7	16.7	
49.88136366	5.282324733	448.104	01:54.8	1.42	2.74	3.72	3.27	4.52	3.96	0.38	7.08	0.8	12.1	
49.88136533	5.282327855	448.118	01:55.3	1.65	2.74	4.6	3.21	5.08	3.9	0.42	6.86	0.6	16.7	
49.88136688	5.282329435	448.145	01:55.8	0.54	2.75	4	3.26	5.36	3.83	-1	-1	-1	-1	
49.88136799	5.282333287	448.084	01:56.3	-0.27	2.75	4.91	3.25	5.21	3.88	-1	-1	-1	-1	
49.88136974	5.282339798	448.137	01:56.8	0.05	2.75	5.55	3.2	5.33	3.99	-1	-1	-1	-1	
49.88137212	5.282343317	448.119	01:57.3	1.55	2.74	3.88	3.3	4.81	4.13	0.4	7.54	0.8	11.5	
49.88137396	5.282347015	448.117	01:57.8	2.93	2.71	5.76	3.14	2.87	3.65	0.33	4.11	0.1	28.1	
49.88137613	5.282352908	448.14	01:58.2	2.25	2.68	5.3	3.1	1.05	3.58	-1	-1	-1	-1	
49.88137909	5.282357015	448.185	01:58.8	7.03	2.75	9.58	3.72	3.49	4.27	10.53	1.05	0.8	29.6	
49.88138103	5.282361547	448.174	01:59.3	25.85	3.08	9.2	3.41	1.46	2.95	-1	-1	-1	-1	
49.88138278	5.282366257	448.208	01:59.7	4.03	2.78	4.9	3.06	4.14	3.67	4.35	3.66	1.1	7.5	
49.88138598	5.282371522	448.179	02:00.3	2.42	2.73	6.29	3.2	5.2	4.1	0.09	6.33	0.3	21.9	
